Name,Slot,Description,View Desc,Price,1/2 Price,Upgrade,CL,Weight (lb),Strength,School,Crafting Feat,Spells Needed,Other Reqs,Base Crafting DC, Num Req,Source,URL,Notes
Bag of Concealment (I),Slotless,"A bag of concealment appears to be a common leather sack with a shoulder strap, about 2 feet by 4 feet in size. The bag behaves as a bag of holding, with all the same carrying capacities according to size (it can hold 250 lbs in 30 cubic ft), except for a few key points. Each bag of concealment is keyed to a specific owner upon creation (and can only be keyed to one person at a time)—should the bag’s owner be killed, it becomes keyed to the next person to open it (the currently keyed person can also relinquish this status as a standard action, allowing another creature to become keyed to the bag by opening it). Only the person a bag of concealment is keyed to may access its contents. Any others who look in the bag see only the inside of an empty sack, with dimensions matching the bag’s outside measurements, as the true contents are kept separate and undetectable in the bag’s magical pocket dimension. Should anything be placed in the empty bag by someone other than the owner, the goods that have been shunted to the pocket dimension cannot be accessed unless the new item is removed. A bag of concealment registers as non-magical unless successfully identified, as per a permanent version of the spell magic aura. The mouth of a bag of concealment can be stretched to up to four times its normal width, so larger goods may be hidden inside.",No,"5,000 ","2,500 ",Bag of Concealment (II),9,15,Moderate,Conjuration,Craft Wondrous Item,Fabricate + Secret Chest,-,24,2,PC: Classic Treasures Revisted,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-concealment,
Bag of Concealment (II),Slotless,"A bag of concealment appears to be a common leather sack with a shoulder strap, about 2 feet by 4 feet in size. The bag behaves as a bag of holding, with all the same carrying capacities according to size (it can hold 500 lbs in 70 cubic ft), except for a few key points. Each bag of concealment is keyed to a specific owner upon creation (and can only be keyed to one person at a time)—should the bag’s owner be killed, it becomes keyed to the next person to open it (the currently keyed person can also relinquish this status as a standard action, allowing another creature to become keyed to the bag by opening it). Only the person a bag of concealment is keyed to may access its contents. Any others who look in the bag see only the inside of an empty sack, with dimensions matching the bag’s outside measurements, as the true contents are kept separate and undetectable in the bag’s magical pocket dimension. Should anything be placed in the empty bag by someone other than the owner, the goods that have been shunted to the pocket dimension cannot be accessed unless the new item is removed. A bag of concealment registers as non-magical unless successfully identified, as per a permanent version of the spell magic aura. The mouth of a bag of concealment can be stretched to up to four times its normal width, so larger goods may be hidden inside.",No,"10,000 ","5,000 ",Bag of Concealment (III),9,25,Moderate,Conjuration,Craft Wondrous Item,Fabricate + Secret Chest,-,24,2,PC: Classic Treasures Revisted,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-concealment,
Bag of Concealment (III),Slotless,"A bag of concealment appears to be a common leather sack with a shoulder strap, about 2 feet by 4 feet in size. The bag behaves as a bag of holding, with all the same carrying capacities according to size (it can hold 1000 lbs in 150 cubic ft), except for a few key points. Each bag of concealment is keyed to a specific owner upon creation (and can only be keyed to one person at a time)—should the bag’s owner be killed, it becomes keyed to the next person to open it (the currently keyed person can also relinquish this status as a standard action, allowing another creature to become keyed to the bag by opening it). Only the person a bag of concealment is keyed to may access its contents. Any others who look in the bag see only the inside of an empty sack, with dimensions matching the bag’s outside measurements, as the true contents are kept separate and undetectable in the bag’s magical pocket dimension. Should anything be placed in the empty bag by someone other than the owner, the goods that have been shunted to the pocket dimension cannot be accessed unless the new item is removed. A bag of concealment registers as non-magical unless successfully identified, as per a permanent version of the spell magic aura. The mouth of a bag of concealment can be stretched to up to four times its normal width, so larger goods may be hidden inside.",No,"14,800 ","7,400 ",Bag of Concealment (IV),9,35,Moderate,Conjuration,Craft Wondrous Item,Fabricate + Secret Chest,-,24,2,PC: Classic Treasures Revisted,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-concealment,
Bag of Concealment (IV),Slotless,"A bag of concealment appears to be a common leather sack with a shoulder strap, about 2 feet by 4 feet in size. The bag behaves as a bag of holding, with all the same carrying capacities according to size (it can hold 1500 lbs in 250 cubic ft), except for a few key points. Each bag of concealment is keyed to a specific owner upon creation (and can only be keyed to one person at a time)—should the bag’s owner be killed, it becomes keyed to the next person to open it (the currently keyed person can also relinquish this status as a standard action, allowing another creature to become keyed to the bag by opening it). Only the person a bag of concealment is keyed to may access its contents. Any others who look in the bag see only the inside of an empty sack, with dimensions matching the bag’s outside measurements, as the true contents are kept separate and undetectable in the bag’s magical pocket dimension. Should anything be placed in the empty bag by someone other than the owner, the goods that have been shunted to the pocket dimension cannot be accessed unless the new item is removed. A bag of concealment registers as non-magical unless successfully identified, as per a permanent version of the spell magic aura. The mouth of a bag of concealment can be stretched to up to four times its normal width, so larger goods may be hidden inside.",No,"20,000 ","10,000 ",-,9,60,Moderate,Conjuration,Craft Wondrous Item,Fabricate + Secret Chest,-,24,2,PC: Classic Treasures Revisted,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-concealment,
"Bag of Devouring, Intelligent",Slotless,"Statistics: [  Alignment chaotic evil; Int 10, Wis 14, Cha 13, Ego 13 (17 against any non-demon); Senses 30 ft., blindsense; Languages speech (Abyssal)  ] Most bags of devouring appear as normal sacks, but this one is unlike most bags of devouring. Sporting rows of vicious teeth, a bad attitude, and a thirst to devour all things, this intelligent cursed item believes it is the favored maw and most important appendage of a fabled creature it refers to as the Eater of All. The bag hates all creatures except for demons, whom it considers kindred spirits of destruction. It has all of the magical abilities of a regular bag of devouring, along with the following additional powers. [  ** Bite: As a standard action, it’s possessor can swing the bag by its straps in an attempt to strike any target within a 5-foot radius. The possessor targets a single creature or unattended item with this attack. The bag (not the wielder) makes a single bite attack against the creature or item targeted: bite +14 (1d10+5 and bleed 2). This action does not provoke attacks of opportunity, despite it’s Tiny size. Attacks made in this way are never modified by the wielder’s abilities; ** Hateful Curse: When a non-demon is in possession of the bag, the bag’s cursed aura imparts a –1 penalty on all of its wielder’s attack rolls, saving throws, skill checks, and ability checks. If the bag manages to seize control of a non-demon host through personality conflict, it directs its host to seek out victims to feed to it.  ] Construction requirements match a Bag of Holding (Type III)",No,"7,400 ","3,700 ",-,17,15,Strong,Conjuration,Craft Wondrous Item,Secret Chest,-,27,1,PCS: Rival Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-devouring-intelligent,
Bag of Everlasting Dung,Slotless,This leather bag exudes a pungent scent when opened. Each day it provides enough dried dung to fuel a small fire for 8 hours or fertilize a 20-foot-square patch of land.,No,500 ,250 ,-,5,4,Faint,Conjuration,Craft Wondrous Item,Create Food and Water,-,15,1,PC: Legacy of Fire (Player's Guide),http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-everlasting-dung,
Bag of Holding (I),Slotless,"This appears to be a common cloth sack about 2 feet by 4 feet in size. The bag of holding opens into a nondimensional space: its inside is larger than its outside dimensions. It can hold 250 lbs. in 30 cubic ft.. If a bag of holding is overloaded, or if sharp objects pierce it (from inside or outside), the bag immediately ruptures and is ruined, and all contents are lost forever. If a bag of holding is turned inside out, all of its contents spill out, unharmed, but the bag must be put right before it can be used again. If living creatures are placed within the bag, they can survive for up to 10 minutes, after which time they suffocate. Retrieving a specific item from a bag of holding is a move action, unless the bag contains more than an ordinary backpack would hold, in which case retrieving a specific item is a full-round action. Magic items placed inside the bag do not offer any benefit to the character carrying the bag. If a bag of holding is placed within a portable hole, a rift to the Astral Plane is torn in the space: bag and hole alike are sucked into the void and forever lost. If a portable hole is placed within a bag of holding, it opens a gate to the Astral Plane: the hole, the bag, and any creatures within a 10-foot radius are drawn there, destroying the portable hole and bag of holding in the process. ** Editor's Note: Bag of Holding refers to the space inside as 'non-dimensional' whereas the rules on extradimensional spaces explicitly refer to bags of holding as examples of extradimensional spaces. **",No,"2,500 ","1,250 ",Bag of Holding (II),9,15,Moderate,Conjuration,Craft Wondrous Item,Secret Chest,-,19,1,PC: Classic Treasures Revisted,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-holding,
Bag of Holding (II),Slotless,"This appears to be a common cloth sack about 2 feet by 4 feet in size. The bag of holding opens into a nondimensional space: its inside is larger than its outside dimensions. It can hold 500 lbs. in 70 cubic ft.. If a bag of holding is overloaded, or if sharp objects pierce it (from inside or outside), the bag immediately ruptures and is ruined, and all contents are lost forever. If a bag of holding is turned inside out, all of its contents spill out, unharmed, but the bag must be put right before it can be used again. If living creatures are placed within the bag, they can survive for up to 10 minutes, after which time they suffocate. Retrieving a specific item from a bag of holding is a move action, unless the bag contains more than an ordinary backpack would hold, in which case retrieving a specific item is a full-round action. Magic items placed inside the bag do not offer any benefit to the character carrying the bag. If a bag of holding is placed within a portable hole, a rift to the Astral Plane is torn in the space: bag and hole alike are sucked into the void and forever lost. If a portable hole is placed within a bag of holding, it opens a gate to the Astral Plane: the hole, the bag, and any creatures within a 10-foot radius are drawn there, destroying the portable hole and bag of holding in the process. ** Editor's Note: Bag of Holding refers to the space inside as 'non-dimensional' whereas the rules on extradimensional spaces explicitly refer to bags of holding as examples of extradimensional spaces. **",No,"5,000 ","2,500 ",Bag of Holding (III),9,25,Moderate,Conjuration,Craft Wondrous Item,Secret Chest,-,19,1,PC: Classic Treasures Revisted,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-holding,
Bag of Holding (III),Slotless,"This appears to be a common cloth sack about 2 feet by 4 feet in size. The bag of holding opens into a nondimensional space: its inside is larger than its outside dimensions. It can hold 1000 lbs. in 150 cubic ft.. If a bag of holding is overloaded, or if sharp objects pierce it (from inside or outside), the bag immediately ruptures and is ruined, and all contents are lost forever. If a bag of holding is turned inside out, all of its contents spill out, unharmed, but the bag must be put right before it can be used again. If living creatures are placed within the bag, they can survive for up to 10 minutes, after which time they suffocate. Retrieving a specific item from a bag of holding is a move action, unless the bag contains more than an ordinary backpack would hold, in which case retrieving a specific item is a full-round action. Magic items placed inside the bag do not offer any benefit to the character carrying the bag. If a bag of holding is placed within a portable hole, a rift to the Astral Plane is torn in the space: bag and hole alike are sucked into the void and forever lost. If a portable hole is placed within a bag of holding, it opens a gate to the Astral Plane: the hole, the bag, and any creatures within a 10-foot radius are drawn there, destroying the portable hole and bag of holding in the process. ** Editor's Note: Bag of Holding refers to the space inside as 'non-dimensional' whereas the rules on extradimensional spaces explicitly refer to bags of holding as examples of extradimensional spaces. **",No,"7,400 ","3,700 ",Bag of Holding (IV),9,35,Moderate,Conjuration,Craft Wondrous Item,Secret Chest,-,19,1,PC: Classic Treasures Revisted,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-holding,
Bag of Holding (IV),Slotless,"This appears to be a common cloth sack about 2 feet by 4 feet in size. The bag of holding opens into a nondimensional space: its inside is larger than its outside dimensions. It can hold 1500 lbs. in 250 cubic ft.. If a bag of holding is overloaded, or if sharp objects pierce it (from inside or outside), the bag immediately ruptures and is ruined, and all contents are lost forever. If a bag of holding is turned inside out, all of its contents spill out, unharmed, but the bag must be put right before it can be used again. If living creatures are placed within the bag, they can survive for up to 10 minutes, after which time they suffocate. Retrieving a specific item from a bag of holding is a move action, unless the bag contains more than an ordinary backpack would hold, in which case retrieving a specific item is a full-round action. Magic items placed inside the bag do not offer any benefit to the character carrying the bag. If a bag of holding is placed within a portable hole, a rift to the Astral Plane is torn in the space: bag and hole alike are sucked into the void and forever lost. If a portable hole is placed within a bag of holding, it opens a gate to the Astral Plane: the hole, the bag, and any creatures within a 10-foot radius are drawn there, destroying the portable hole and bag of holding in the process. ** Editor's Note: Bag of Holding refers to the space inside as 'non-dimensional' whereas the rules on extradimensional spaces explicitly refer to bags of holding as examples of extradimensional spaces. **",No,"10,000 ","5,000 ",-,9,60,Moderate,Conjuration,Craft Wondrous Item,Secret Chest,-,19,1,PC: Classic Treasures Revisted,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-holding,
Bag of Holding (Minor),Slotless,"This more economical version of the bag of holding functions in the same manner, but its internal measurements are smaller than those of a regular bag of holding. It measures 2 feet by 4 feet and can carry up to 50 pounds or 6 cubic feet of material.",No,"1,000 ",500 ,Bag of Holding (I),9,3,Moderate,Conjuration,Craft Wondrous Item,Secret Chest,-,19,1,PC: Classic Treasures Revisted,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-holding,
Bag of Rust,Slotless,"This dull-red cloth pouch is magically sealed and contains fine grains of a powdery substance. As a ranged touch attack, the user can throw the pouch at a creature or object within 30 feet. On a hit, the bag breaks open and showers the target with the powder. If the target is wearing metal armor, the bag of rust rapidly corrodes the armor, lowering its armor bonus by 1d6 (to a minimum bonus of 0). If the target is a ferrous creature or a metal object, the bag deals 3d6+7 points of damage. The user can target a creature's metal weapon with the thrown bag, but the user takes a –10 penalty on such ranged touch attacks, as weapons are more difficult to hit. Metal weapons struck by the bag are destroyed. Magic items made of metal are immune to this effect. If the bag misses its target, use the rules for when splash weapons miss to determine where it lands. If it lands on a metal surface, the bag damages that surface as described above, but it deals no splash damage to adjacent creatures.",No,"1,400 ",700 ,-,7,0.5,Moderate,Transmutation,Craft Wondrous Item,Rusting Grasp,-,17,1,PPC: Dirty Tactics Toolbox,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-rust,
Bag of Shadow Clouds,Slotless,"Anyone peering into this bag of deep gray cloth sees nothing but empty blackness. Within the bag exists an extradimensional space linked to the Plane of Shadow. Three times per day, as a move action, the bearer can reach within the bag and pull out 1d4 semisolid shards of shadow. The bag's bearer can use each shard of shadow as a thrown weapon targeting a single 5-foot square. When it hits, it acts as a darkness spell, but only affecting one 5-foot square. As a move action, the bearer of the bag can move a shadow cloud up to 10 feet in any direction. Whether or not they are thrown, the shards of shadow and shadow clouds last 10 minutes before dissipating.",No,"30,240 ","15,120 ",-,7,1,Moderate,Illusion,Craft Wondrous Item,Darkness + Shadow Conjuration,-,22,2,PRG: Advanced Race Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-shadow-clouds,
Bag of Tricks (Gray),Slotless,"This small sack appears empty. Anyone reaching into the bag feels a small, fuzzy ball. If the ball is removed and tossed up to 20 feet away, it turns into an animal. The animal serves the character who drew it from the bag for 10 minutes (or until slain or ordered back into the bag), at which point it disappears. It can follow any of the commands described in the Handle Animal skill. Each of the three kinds of bags of tricks produces a different set of animals. Use the following table to determine what animals can be drawn out of each. (d%) - (Animal): (01–30) - (Bat); (31–60) - (Rat); (61–75) - (Cat); (76–90) - (Weasel); (91–100) - (Riding dog). The heavy horse appears with harness and tack and accepts the character who drew it from the bag as a rider. Animals produced are always random, and only one may exist at a time. Up to 10 Animals can be drawn from the bag each week, but no more than two per day.",No,"3,400 ","1,700 ",-,3,?,Faint,Conjuration,Craft Wondrous Item,Summon Nature's Ally II,-,13,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-tricks,
Bag of Tricks (Rust),Slotless,"This small sack appears empty. Anyone reaching into the bag feels a small, fuzzy ball. If the ball is removed and tossed up to 20 feet away, it turns into an animal. The animal serves the character who drew it from the bag for 10 minutes (or until slain or ordered back into the bag), at which point it disappears. It can follow any of the commands described in the Handle Animal skill. Each of the three kinds of bags of tricks produces a different set of animals. Use the following table to determine what animals can be drawn out of each. (d%) - (Animal): (01–30) - (Wolverine); (31–60) - (Wolf); (61–85) - (Boar); (86–100) - (Leopard). The heavy horse appears with harness and tack and accepts the character who drew it from the bag as a rider. Animals produced are always random, and only one may exist at a time. Up to 10 Animals can be drawn from the bag each week, but no more than two per day.",No,"8,500 ","4,250 ",-,5,?,Faint,Conjuration,Craft Wondrous Item,Summon Nature's Ally III,-,15,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-tricks,
Bag of Tricks (Tan),Slotless,"This small sack appears empty. Anyone reaching into the bag feels a small, fuzzy ball. If the ball is removed and tossed up to 20 feet away, it turns into an animal. The animal serves the character who drew it from the bag for 10 minutes (or until slain or ordered back into the bag), at which point it disappears. It can follow any of the commands described in the Handle Animal skill. Each of the three kinds of bags of tricks produces a different set of animals. Use the following table to determine what animals can be drawn out of each. (d%) - (Animal): (01–30) - (Grizzly Bear); (31–60) - (Lion); (61–75) - (Heavy Horse); (76–90) - (Tiger); (91–100) - (Rhinoceros). The heavy horse appears with harness and tack and accepts the character who drew it from the bag as a rider. Animals produced are always random, and only one may exist at a time. Up to 10 Animals can be drawn from the bag each week, but no more than two per day.",No,"16,000 ","8,000 ",-,9,?,Moderate,Conjuration,Craft Wondrous Item,Summon Nature's Ally V,-,19,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-tricks,
"Bag, Corpse-Ferrying",Slotless,"This large black leather bag has a wide mouth and laces to help keep it shut. It weighs 20 pounds and can carry up to 300 pounds or 10 cubic feet of material (easily able to hold a single Medium corpse or two Small corpses, including their gear). Anything within the bag is protected by a gentle repose spell.",No,"4,000 ","2,000 ",-,9,20,Moderate,Conjuration + Necromancy,Craft Wondrous Item,Gentle Repose + Secret Chest,-,24,2,PC: Classic Treasures Revisted,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-corpse-ferrying,
"Bag, Handy Haversack",Slotless,"A backpack of this sort appears to be well made, well used, and quite ordinary. It has two side pouches, each of which appears large enough to hold about a quart of material. In fact, each is like a bag of holding and can actually hold material of as much as 2 cubic feet in volume or 20 pounds in weight. The large central portion of the pack can contain up to 8 cubic feet or 80 pounds of material. Even when so filled, the backpack always weighs only 5 pounds. While such storage is useful enough, the pack has an even greater power. When the wearer reaches into it for a specific item, that item is always on top. Thus, no digging around and fumbling is ever necessary to find what a haversack contains. Retrieving any specific item from a haversack is a move action, but it does not provoke the attacks of opportunity that retrieving a stored item usually does. Editor's Note: Handy Haversack does not indicate the sort of space inside it other than to say it is 'like a bag of holding' which is described as opening to a 'non-dimensional space' whereas the rules on extradimensional spaces explicitly refer to bags of holding and handy haversacks as examples of extradimensional spaces.",No,"2,000 ","1,000 ",-,9,5,Moderate,Conjuration,Craft Wondrous Item,Secret Chest,-,19,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-handy-haversack,
"Baldric, Bane",Chest,"This ornate sash of embroidered velvet stretches across the chest from shoulder to waist. If the wearer is an inquisitor, she is treated as five levels higher when using her bane and greater bane abilities . If the wearer is not an inquisitor, she gains the bane ability of a 5th-level inquisitor, but must first attune a light or one-handed melee weapon to the baldric by hanging it from the cloth for 24 hours, and can only use the bane ability with the attuned weapon. Attuning a new weapon to the baldric ends the attunement for the previous weapon.",No,"10,000 ","5,000 ",-,10,1,Moderate,Conjuration,Craft Wondrous Item,Summon Monster I,(Class) Inquisitor,25,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/baldric-bane,
"Baldric, Merciful",Chest,"This sash of white silk embroidered with golden suns never tears, fades, or soils. Once per day, a paladin wearing this baldric can select three extra mercies of her level or lower she does not already know and add them to the list of mercies she can use for the day. She has access to these mercies for 24 hours. When the wearer uses a mercy to remove a condition caused by a curse, disease, or poison, the mercy actually cures the source curse, disease, or poison rather than merely suppressing it for 1 hour.",No,"60,000 ","30,000 ",-,11,1,Moderate,Conjuration,Craft Wondrous Item,Remove Disease + Remove Curse,(Feat) Extra Mercy + (Alignment) Lawful,36,4,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/baldric-merciful,
Balm of Impish Grace,Slotless,"When rubbed vigorously into the skin, this potent red liniment enhances a Tiny or smaller creature's ability to make full use of its size and mobility. Applying a dose of liniment is a standard action that provokes an attack of opportunity (similar to applying an oil). A creature under the effects of the liniment no longer provokes attacks of opportunity for moving through threatened squares or for entering a larger creature's square. The balm lasts for 5 minutes before its effects wear off. A newly created bottle of balm holds 5 doses.",No,"7,500 ","3,750 ",-,7,0,Moderate,Transmutation,Craft Wondrous Item,Grace,-,17,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/balm-of-impish-grace,
Band of the Stalwart Warrior,Headband,"This plain iron band protects its wearer from fear effects. Whenever the wearer suffers a fear effect, she is merely shaken (even if the effect would normally make the target frightened or panicked). Furthermore, the subject gains a +2 competence bonus on all Will saves against fear. If the wearer has the bravery class feature, she is considered four levels higher when determining that class feature’s effect.",No,"14,000 ","7,000 ",-,16,1,Strong,Abjuration,Craft Wondrous Item,Remove Fear,-,26,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/band-of-the-stalwart-warrior,
"Band, Holly Wreath",Headband,"This headband is woven of magically preserved holly, its deep green leaves and bright red berries perpetually lustrous. The wearer may create goodberries once per day as the spell, and any effect she creates that affects plants, including the domain powers of the Plant domain, take effect at +1 caster level and gain a +1 bonus to the save DC.",No,"5,700 ","2,850 ",-,3,1,Faint,Transmutation,Craft Wondrous Item,Goodberry + Plant Growth,-,18,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/band-holly-wreath,
"Band, Hunter’s",Headband,"This simple headband of braided hide grants a +5 competence bonus on Survival checks and inures the wearer to the strain of long travel, as the tireless pursuit spell. If the wearer is a ranger, the hunter’s band increases his favored enemy bonus on attack rolls by +1 for all his favored enemies. If the ranger has the hunter’s bond (companions) class feature, this increase also applies to the attack roll bonus his allies gain from that ability.",No,"11,000 ","5,500 ",-,4,1,Faint,Transmutation,Craft Wondrous Item,Greater Magic Fang + Cone of Cold | Ice Storm,(Skill) Survival 5,24,3,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/band-hunter-s,
"Band, Serpent’s",Headband,"The wearer of this circlet gains a +2 insight bonus on saving throws against effects with the emotion descriptor, including fear effects. The wearer gains fluency in Draconic and may converse with non-sentient (Int 1 or 2) reptilian animals and magical beasts as if using the speak with animals spell, and gains a +4 competence bonus on Handle Animal and wild empathy checks made when interacting with such creatures.",No,"9,000 ","4,500 ",-,10,1,Moderate,Conjuration + Enchantment,Craft Wondrous Item,Animal Trace + Hypnotism + Speak With Animals + Summon Nature's Ally V,-,35,4,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/band-serpent-s,
Bandages of Rapid Recovery,Chest,"These linen bandages have the same color and softness as the feathers of a dove, but their antiseptic smell suggests a less natural origin. Any creature wrapped in these bandages recovers from wounds and ability damage each day as if receiving complete bed rest regardless of activity. A creature actually receiving long-term care (from the Heal skill) or complete bed rest while wearing the bandages gains a +4 bonus to its effective level or Hit Dice when determining how many hit points it recovers each day. The bandages are destroyed once removed or when the wearer recovers all hit points and ability damage, whichever comes first.",No,200 ,100 ,-,1,1,Faint,Conjuration,Craft Wondrous Item,Cure Light Wounds + Lesser Restoration + Stabilize,-,21,3,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bandages-of-rapid-recovery,
"Bandanna, Guerrilla",Headband,"Used by warband leaders, a guerrilla bandanna is a plain brown and green bandanna that can be tied around the forehead. The wearer gains a +5 competence bonus on Stealth checks while traveling in forested terrain, and can extend this bonus to up to 10 allies while they remain within 100 feet of the wearer. If the wearer is a ranger, the guerrilla bandanna increases his favored enemy bonus on attack rolls by 1 for each of his favored enemies. If the ranger has the hunter's bond (companions) class feature, this increase also applies to the attack roll bonus his allies gain from that ability.",No,"18,000 ","9,000 ",-,10,1,Moderate,Enchantment + Illusion,Craft Wondrous Item,Instant Enemy + Invisibility,-,25,2,PCS: Inner Sea Combat,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bandanna-guerrilla,
"Bandolier, Beneficial",Belt,"This bandolier is made of finely tanned leather. It has slots for up to 200 rounds of ammunition. Pellets and black powder are kept in tiny individual pouches, and bullets in small loops. The bandolier alters itself as needed to accommodate both. There are also places on the beneficial bandolier for a gunsmith’s kit and a powder horn. Regardless of what quantities of these items are placed within the beneficial bandolier, its weight does not change. As a swift action, the wearer can command a single round of ammunition from the beneficial bandolier to teleport into a firearm of the appropriate type that he is wielding.",No,"1,000 ",500 ,-,9,2,Moderate,Transmutation,Craft Wondrous Item,Secret Chest,-,19,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bandolier-beneficial,
"Bandolier, Endless",Chest,"Small loops sewn into this bandolier look like they can hold twenty alchemical cartridges (ammunition for a firearm), but due to a subtle bending of space can actually hold up to 60 cartridges. Additionally, the six thin pockets on the bandolier are extradimensional spaces meant to hold extra guns and gear. The four small pockets can each hold a one-handed firearm, 1 pound of ammunition, a powder horn, or a similarly sized object. The two large pockets are large enough to hold a two-handed firearm or a similarly sized object. The wearer can draw an item stored in the bandolier as easily as if from an ordinary ammunition pouch or holster. The bandolier weighs the same no matter what is placed inside it.",No,"1,500 ",750 ,-,9,2,Moderate,Conjuration,Craft Wondrous Item,Secret Chest,-,19,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bandolier-endless,
Banner of Restful Nights,Slotless,"This magical standard appears to be a rather plain banner of nondescript canvas cloth, but on command it takes on the device or pattern chosen by the person using it. Once per day when the banner is planted firmly in the ground, it creates a calm and comfortable environment in a 20-foot radius from the banner, granting those within the area the benefits of endure elements. This area of calm and comfort can even resist magical weather effects, but only if those effects are of a caster level lower than that of the banner. Also, the banner wards the area of calm and comfort as if by an alarm spell (audible alarm). The creature that plants the banner into the ground chooses the password upon doing so. The area created by the banner lasts for 8 hours or until the banner is taken out of the ground.",No,"5,040 ","2,520 ",-,9,7,Moderate,Abjuration,Craft Wondrous Item,Alarm + Endure Elements,-,24,2,PRG: Advanced Class Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/banner-of-restful-nights,
Banner of Tactical Command,Slotless,"This brightly colored banner measures 2 feet by 4 feet in size, and is mounted on an 8-foot-long pole of spiraled gold and ivory. When the commander of an army engaged in mass combat displays this banner, the army under her command is treated as knowing one additional tactic. The granted tactic must be selected at the time of the banner’s creation and cannot be changed. The army must be able to see the banner in a given phase of mass combat to receive the bonus; a banner is considered obscured in conditions of darkness, fog, and sandstorms. If the commander is killed or captured, the banner ceases to function, even if it remains visible in the commander’s absence. A commander may have a number of banners in effect equal to her Charisma modifier; if more banners are displayed than her Charisma modifier allows, roll randomly each round to determine which banners’ abilities are suppressed.",No,"100,000 ","50,000 ",-,10,3,Moderate,Divination,Craft Wondrous Item,Tactical Insight,-,20,1,PPC: Quests & Campaigns,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/banner-of-tactical-command,
Banner of Tactical Command (Lesser),Slotless,This item functions as a banner of tactical command but can only affect armies of size Large or smaller.,No,"20,000 ","10,000 ",Banner of Tactical Command,10,3,Moderate,Divination,Craft Wondrous Item,Tactical Insight,-,20,1,PPC: Quests & Campaigns,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/banner-of-tactical-command,
